Grant ID,Grant Number,Publication Title ,Publication Year,Authors ,Journal,Rubric 2 (original),check of Rubric 2 score,NEW Interdiscplinary Rubric (1),Citations,date for cite count,Abstract,Notes
grant.3033891,238121,"Anguillicola crassus infection in Anguilla rostrata from small tributaries of the Hudson River watershed, New York, USA",2008,Machut and Limburg,Diseases of Aquatic Organisms,3,,,23,,,More than 10 citations - randomly selected 10
grant.3033891,238121,Nutrients and their period of enhancement influence benthic cover and biomass in a freshwater system,2008,Elsdon and Limburg,Marine and Freshwater Research ,2,,,cant find,,,More than 10 citations - randomly selected 10
grant.3033891,238121,"Bridging the energy gap: anadromous blueback herring feeding in the Hudson and Mohawk Rivers, New York",2007,"Simonin et al. 
",Transactions of the American Fisheries Society,3,,,9,,,More than 10 citations - randomly selected 10
grant.3033891,238121,"Anthropogenic impacts on American eel demographics in Hudson River tributaries, New York.",2007,Machut et al. ,Transactions of the American Fisheries Society,1,,,59,,,More than 10 citations - randomly selected 10
grant.3033891,238121,"Otolith chemistry to describe movements and life-history parameters of fishes: hypotheses, assumptions, limitations, and inferences",2008,Elsdon et al. ,Oceanography and Marine Biology: An annual review,3,,,507,,,More than 10 citations - randomly selected 10
grant.3033891,238121,Stone Age fishhooks ? how were they dimensioned?,2008,"Olson et al. 
",Jounral of Archaeological Science ,2,,,5,,,More than 10 citations - randomly selected 10
grant.3033891,238121,Dramatic declines in North Atlantic diadromous fishes,2009,Limburg and Waldman ,BioScience,2,,,408,,,More than 10 citations - randomly selected 10
grant.3033891,238121,"The good, the bad, and the algae: ecosystem services and disservices generated by zebra and quagga mussels",2010,"Limburg et al. 
",Journal of Great Lakes Research,1,,,39,,,More than 10 citations - randomly selected 10
grant.3050493,423704,Key research topics in landscape ecology,2004,"Wu
","Acta Ecologica Sinica
",3,,,188,,,More than 10 citations - randomly selected 10
grant.3050493,423704,"Points, patches, and regions: Scaling soil biogeochemical patterns in an urbanized arid ecosystem",2006,Jenerette et al. ,Global Change Biology,2,,,63,,,More than 10 citations - randomly selected 10
grant.3050493,423704,Exploring resilience in social-ecological systems through comparative studies and theory development: Introduction to the special issue,2006,Walker et al. ,Ecology and Society,1,,,345,,,More than 10 citations - randomly selected 10
grant.3050493,423704,Urban biodiversity: Patterns and mechanisms,2011,Faeth et al. ,Annals of the New York Academy of Sciences,1,,,264,,,More than 10 citations - randomly selected 10
grant.3050493,423704,Reduced wind speed improves plant growth in a desert city,2010,Bang et al. ,PloS One,1,,,34,,,More than 10 citations - randomly selected 10
grant.3050493,423704,"Migration, health, and environment in the desert Southwest",2009,Yabiku et al. ,Population and Environment,1,,,13,,,More than 10 citations - randomly selected 10
grant.3050493,423704,"Trends in ground water nitrate contamination in the Phoenix, Arizona region",2007,Xu et al. ,Ground Water Monitoring and Remediation ,2,,,25,,,More than 10 citations - randomly selected 10
grant.3050493,423704,Fate of sucralose during wastewater treatment,2011,Torres et al. ,Envirnmental Engineering Science,3,,,84,,,More than 10 citations - randomly selected 10
grant.3050493,423704,Bivariate zero-inflated regression for count data: A Bayesian with application to plant counts,2010,Majumdar et al. ,International Journal of Biostatistics,3,,,15,,,More than 10 citations - randomly selected 10
grant.3050493,423704,Development of a framework for quantifying the environmental impacts of urban development and construction practices,2007,Li et al. ,Environmental Science and Technology,1,,,36,,,More than 10 citations - randomly selected 10
grant.3126546,1114964,Evidence of market-driven size-selective fishing and the mediating effects of biological and institutional factors,2013,Reddy et al. ,Ecological Applications,1,,,27,,,
grant.3126546,1114964,How good science and stories can go hand in hand?,2013,Leslie et al. ,Conservation Biology,3,,,29,,,
grant.3126547,1114965,The Social-Ecological System Framework as a Knowledge Classificatory System for Benthic Small-Scale Fisheries,2013,Basurto et al. ,Global Environmental Change,1,,,181,,,
grant.3126548,1114966,Cooperative and Non-Cooperative Strategies for Small-Scale Fisheries Self-Governance in the Globalization Era: Implications for Conservation,2013,Basurto et al. ,Ecology and Society,1,,,63,,,
grant.3126549,1114967,Long-term effectiveness of a multi-use marine protected area on reef fish assemblages and fisheries landings,2013,Rife et al. ,Journal of Environmental Management,1,,,32,,,
grant.3126550,1114968,When good intentions are not enough? Insights on networks of paper park? marine protected areas,2013,Rife et al. ,Conservation Letters,1,,,113,,,
grant.3126551,1114969,The need for a next generation of Sonoran desert researchers,2013,Wilder et al.,Conservation Biology,3,,,4,,,
grant.3126544,1114953,Climate change is likely to worsen the public health threat of diarrheal disease in Botswana,2013,"Alexander KA, Carzolio M, Goodin D, Vance E",International journal of environmental research and public health,1,,,89,,,
grant.3126544,1114953,Tracking Pathogen Transmission at the Human - Wildlife Interface: Banded Mongoose and Escherichia coli.,2013,"Pesapane R, Ponder M, Alexander K.",EcoHealth,2,,,43,,,
grant.3126545,1114953,Leptospira interrogans at the Human-Wildlife Interface in Northern Botswana: A Newly Identified Public Health Threat.,2013,"Jobbins S, Sanderson C, Alexander K.",Zoonoses and Public Health,2,,,27,,,
grant.3126546,1114953,"Overcoming barriers in evaluating outbreaks of diarrheal disease in resource poor settings: assessment of recurrent outbreaks in Chobe District, Botswana,",2013,"Alexander K, Blackburn J.",BMC Public Health,3,,,22,,,
grant.3126547,1114953,"The Occurrence of Cryptosporidium and Giardia Infections Among Patients Reporting Diarrheal Disease in Chobe District, Botswana.",2012,"Alexander KA, Herbein J, Zajac A",Advances in Infectious Diseases,3,,,16,,,
grant.3126548,1114953,"With Allee effects, life for the social carnivore is complicated",2013,"Sanderson, CE, Jobbins, SE, Alexander, KA", Population Ecology,3,,,10,,,
grant.3139154,1212003,No publications listed in NSF award search,,,,,,,,,,
grant.3089961,816475,Climate Change Impacts on Western Pacific Northwest Prairies and Savannas,2011,Bachelet et al. ,Northwest Science ,2,,,42,,,
grant.3089961,816475,Growth of Oregon White Oak (Quercus garryana),2011,Gould et al. ,Northwest Science ,3,,,21,,,
grant.3089961,816475,A Temporal Variant-Invariant Validation Approach for Agent-based Models of Landscape Dynamics,2013,Bone et al. ,Transactions in GIS,1,,,8,,,
grant.3089961,816475,"Testing Patterns of Landowner Propensities to Implement Extensive Forest Fuels Reduction: Agent-based Modeling Experiments in the Willamette Valley, U.S.A.",2014,Ribe et al. ,Peer Reviewed Proceedings of Digital Landscape Architecture,1,,,0,,,
grant.3089961,816475,Ecological correlates of fuel dynamics and potential fire behavior in former upland prairie and oak savanna,2012,Yospin et al. ,Forest Ecology and Management,3,,,6,,,
grant.2997581,903562,Adaptively managing wildlife for climate change: a fuzzy logic approach,2011,"Prato, T.",Environmental Management,2,,,11,,,
grant.2997581,903562,Sustaining ecological integrity with respect to climate change: A fuzzy adaptive management approach,2010,"Prato, T.",Environmental Management,1,,,8,,,
grant.2997581,903562,Wildfire evacuation in a post Black Saturday landscape: Catchy slogans and cautionary tales,2012,"Paveglio, T.B., A.D. Boyd A.D., and M.S. Carroll.",Environmental Hazards: Human and Policy Dimensions,2,,,24,,,
grant.2997581,903562,Understanding evacuation preferences and wildfire mitigations among Northwestern Montana residents,2014,"Paveglio, T.B., T. Prato, D. Dalenberg, and T. Venn.",International Journal of Wildland Fire,1,,,28,,,
grant.2997581,903562,An integrated conceptual framework for adapting forest management practices to alternative futures,2014,"Prato, T., and T. Paveglio",International Journal of Forestry,1,,,6,,,
grant.2997581,903562,Potential tradeoffs between economic growth and open lands conservation. A case study in Northwest Montana,2011,"Prato, T.",Society and Natural Resources,1,,,3,,,
grant.2997581,903562,Increasing resilience of natural protected areas to future climate change: A fuzzy adaptive management approach,2012,"Prato, T.",Ecological Modelling,1,,,27,,,
grant.2997581,903562,"Simulating effects of land use policies on extent of the wildland-urban interface and wildfire risk in Flathead County, Montana.",2013,"Paveglio, T., T. Prato, and M. Hardy",Journal of Environmental Management,,,,22,,,
grant.3100985,909451,Lessons Learned from Chicago Wilderness: Implementing and Sustaining Conservation Management in an Urban Setting,2012,Heneghan et al. ,Diversity,1,,,17,,,
grant.3100985,909451,"Understanding the mechanisms of collective decision-making in ecological restoration: An iterative, ethnographic, agent-based approach",2013,Watkins et al. ,Ecology and Society,1,,,15,,,
grant.2996638,816228,"The sociology of landowner interest in restoring fire-adapted, biodiverse habitats in the wildland-urban interface of Oregon's Willamette Valley Ecoregion",2011,Nielsen-Pincus et al. ,Proceedings on the second conference on the Human Dimensions of Wildland Fire U.S. Department of Agriculture,1,,,6,,,
grant.3100944,909293,Shades of green: Measuring the Ecology of Urban Green Space in the Context of Human Health and Well-being,2010,Jorgenson and Gobster,Nature and Culture,1,,,102,,,
grant.3100944,909293,Lessons learned from Chicago Wilderness: Implementing and sustaining conservation management in an urban setting,2012,"Heneghan et al. 
",Diversity,1,,,17,,,
grant.3100944,909293,"Understanding the mechanisms of collective decision-making in ecological restoration: An iterative, ethnographic, agent-based approach",2013,Watkins et al. ,Ecology and Society,1,,,15,,,
grant.3100944,909293,Social science methods used in the RESTORE Project,2014,Westphal et al. ,General Technical Report,3,,,4,,,
grant.3001248,1137367,Connectivity of lobster populations in the coastal Gulf of Maine. Part II. Coupled biophysical dynamics.,2010,Incze et al. ,Fisheries Oceanography,3,,,117,,,
grant.3001248,1137367,"The Impact of Age, Structure, Uncertainty, and Asymmetric Spatial Dynamics on Regulatory Performance in Fishery Metapopulation",2012,Holland and Herrera,Ecological Economics,1,,,11,,,
grant.3001248,1137367,Optimal Intra-annual Exploitation of the Maine Lobster Fishery,2011,Holland  ,"Economics
",1,,,32,,,
grant.3001248,1137367,Planning for Changing Productivity and Catchability in the Maine Lobster Fishery,2011,Holland,Fisheries Research ,2,,,12,,,
grant.3001248,1137367,"Research on Coupled Human and Natural Systems (CHANS): Approach, Challenges and Strategies",2011,McConnell et al. ,Bulletin of the Ecological Society of America,1,,,135,,,
grant.3001248,1137367,Bioeconomic Equilibrium in a Bait-Constrained Fishery,2010,Ryan et al. ,Marine Resource Economics,1,,,12,,,
grant.3001248,1137367,The Benefits and Risks of Increased Spatial Resolution in Management of Fishery Metapopulations Under Uncertainty,2010,Holland and Herrera,Natural Resource Modeling,2,,,9,,,
grant.3001248,1137367,Uncertainty in the Management of Fisheries: Contradictory Implications and a New Approach.,2009,Holland and Herrera,Marine Resource Economics,1,,,18,,,
grant.3001248,1137367,Biodiversity and Ecosystem Function in the Gulf of Maine: Pattern and Role of Zooplankton and Pelagic Nekton,2011,Johnson et al. ,PLoS One,3,,,70,,,
grant.3077919,709518,The role of food limitation in lobster population dynamics throughout the Gulf of Maine,2009,Grabowski et al. ,New Zealand Journal of Marine Science and Freshwater Research ,3,,,25,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,Exploring the life-history implications of colour variation in offshore Gulf of Maine cod (Gadus morhua),2010,"Sherwood and Grabowski
",ICES Journal of Marine Science,3,,,43,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,Spatial structuring of fish community in association with environmental variables in the coastal Gulf of Maine,2011,Zhang et al. ,"Journal of Northwest Atlantic Fishery Science
",3,,,4,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,Large-scale coherence in New England lobster settlement and associations with regional atmospheric conditions.,2011,Pershing et al. ,Fisheries Oceanography,3,,,14,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,Estimating spatial distribution of American lobster Homarus americanus using habitat variables,2010,Chang et al. ,Marine Ecology Progress Series,3,,,44,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,Processes controlling retention of spring-spawned Atlantic cod (Gadus morhua) in the western Gulf of Maine and their relationship to an index of recruitment success.,2011,"Churchill et al. 
",Fisheries Oceanography,3,,,47,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,Income diversification and risk for fishermen,2013,Kasperski,Proceedings of the National Academy of Sciences,2,,,124,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,The Impact of Whaling on the Ocean Carbon Cycle: Why Bigger Was Better,2010,Pershing et al. ,PLoS One,1,,,70,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,Effectiveness of Harvest Control Rules in Managing American Lobster Fishery in the Gulf of Maine,2012,Zhang et al. ,North American Journal of Fisheries,1,,,0,,,"More than 10 citations - randomly selected 10
"
grant.3077919,709518,Modeling the dynamics of ecosystem for the American lobster in the Gulf of Maine,2012,Zhang et al. ,Aquatic Ecology,3,,,5,,,"More than 10 citations - randomly selected 10
"
grant.3077690,709527,Very similar citations to the above grants - collaborative....,,,,,,,,,,"Very Similar citiations to the othe collaborative grants in the group
"
grant.2995397,707961,Very similar citations to the above grants - collaborative....,,,,,,,,,,"Very Similar citiations to the othe collaborative grants in the group
"
grant.3077922,709536,Very similar citations to the above grants - collaborative....,,,,,,,,,,"Very Similar citiations to the othe collaborative grants in the group
"
grant.3114107,1010550,Glacier recession and water resources in Peru's Cordillera Blanca,2012,Baraer et al. ,Journal of Glaciology,3,,,241,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,"The Himalayan Vertical Archipelago: Climate Change, Glacial Lake Insecurity, and Institutional Capacity in the Khumbu Himalaya",2012,Bury,Hazard Management,1,,,cant find,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,"A mixed method approach to exploring and characterizing ionic chemistry in the surface waters of the glacierized upper Santa River watershed, Ancash, Peru",2012,Eddy ,"Department of Geogrpahy, Masters Thesis ",3,,,0,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,Change in tropical landscapes: Implications for health and livelihoods,2012,Young ,Ecologies and Politics of Health,1,,,2,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,New geographies of water and climate change in Peru: Coupled natural and social transformations in the Santa River watershed,2013,Bury et al. ,Annals of the Assoication of American Geographers,1,,,132,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,Hydrologic connectivity in the high-elevation tropics: Heterogeneous responses to land change,2014,Ponette-Gonzalez,BioScience,2,,,49,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,Migration amidst climate rigidity traps: Resource politics and socio-ecological possibilism in Honduras and Peru,2014,Wrathall et al. ,Annals of the Assoication of American Geographers,1,,,31,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,"Science, Models, and Historians: Toward a Critical Climate History",2014,Carey ,Environmental History ,2,,,13,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,"Toward hydro-social modeling: Merging human variables and the social sciences with climate-glacier runoff models (Santa River, Peru)",2014,Carey et al. ,Journal of Hydrology,1,,,80,,,"More than 10 citations - randomly selected 10
"
grant.3114107,1010550,"Managing water services in tropical regions: From land cover proxies to hydrologic fluxes,",2015,"Ponette-Gonzalez et al. 
",Ambio,1,,,31,,,"More than 10 citations - randomly selected 10
"
grant.3114090,1010384,1010550,,,,,,,,,,"Very Similar citiations to the othe collaborative grants in the group
"
grant.3114089,1010381,1010550,,,,,,,,,,"Very Similar citiations to the othe collaborative grants in the group
"
grant.3114060,1010132,1010550,,,,,,,,,,"Very Similar citiations to the othe collaborative grants in the group
"
grant.3113918,1009244,No publications listed in NSF award search,,,,,,,,,,
grant.2999382,1009063,No publications listed in NSF award search,,,,,,,,,,
grant.3089925,814542,Empirical characterisation of agent behaviours in socio-ecological systems,2011,Smajgl et al. ,Environmental Modelling and Software,1,,,171,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,"Evaluating the effects of land-use development policies on ex-urban forest cover: An integrated agent-based GIS approach,",2009,Robinson and Brown,International Journal of Geographical Information Science,1,,,91,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,Effects of land markets and land management on ecosystem function: A framework for modelling exurban land change,2013,Robinson et al. ,Environmental Modelling and Software,1,,,38,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,Comparative performance of logistic regression and survival analysis for detecting spatial predictors of land-use change,2013,Wang et al. ,International Journal of Geographical Information Science,3,,,30,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,Market impacts on land-use change: An agent-based experiment,2014,Sun et al. ,Annals of the Association of American Geographers,1,,,25,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,Parcel size related to household behaviors affecting carbon storage in exurban residential landscapes,2014,Nassauer et al. ,Landscape and Urban Planning,1,,,17,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,Towards decision-based global land use models for improved understanding of the Earth system,2013,"Rounsevell et al. 
",Earth System Dynamics ,1,,,72,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,Science for action at the local landscape scale,2013,Opdam et al. ,Landscape Ecology,2,,,109,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,Effects of agent heterogeneity in the presence of a land market: A systematic test in an agent-based laboratory,2013,Huang et al. ,Computers Environment and Urban Systems ,2,,,38,,,"More than 10 citations - randomly selected 10
"
grant.3089925,814542,Vegetation productivity consequences of human settlement growth in the Eastern United States,2012,Zhao et al. ,Landscape Ecology,1,,,13,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,A scalable approach to mapping annual land cover at 250 m using MODIS time series data: A case study in the Dry Chaco ecoregion of South America,2010,Clark et al. ,Remote Sensing of Environment,2,,,220,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,"The Impact of Internal and External Policies on Land Change in Uruguay, 2001 to 2009
",2012,Redo et al. ,Environmental Conservation ,1,,,26,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,"The Relative Importance of Socio-Economic and Environmental Variables in Explaining Land Change in Bolivia, 2001-2009",2012,Redo et al. ,Annals of the Association of American Geographers,1,,,30,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,"Vegetation Change in Brazil's Dryland Ecoregions and the Relationship to Crop Production and Environmental Factors: Cerrado, Caatinga and Mato Grosso, 2001-2009",2012,Redo et al. ,Journal of Land Use Science,1,,,38,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,"The influence of socioeconomic, environmental, and demographic factors on municipality-scale land-use/land-cover change in Mexico.",2012,Bonilla-Moheno et al. ,Regional Environmental Change,1,,,63,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,Differences in Vegetation Change among Land Tenure Regimes in Mexico: a Country-Wide Analysis,2013,Bonilla-Moheno et al. ,Land Use Policy,1,,,62,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,Land change for all municipalities in Latin America and the Caribbean assessed from 250-m MODIS imagery (2001-2010),2012,Clark et al. ,Remote Sensing of Environment,2,,,82,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,"Spatial analysis of conservation priorities based on ecosystem services in the Atlantic Forest region of Misiones, Argentina",2012,Izquierdo et al. ,Forests,1,,,27,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,The deforestation and reforestation of Latin America and the Caribbean (2001-2010),2012,Aide et al. ,Biotropica,1,,,2,,,"More than 10 citations - randomly selected 10
"
grant.2995424,709645,Asymmetric forest transition related to the interaction of socio-economic development and forest type in Central America,2012,Redo et al. ,Proceedings of the National Academy of Sciences,1,,,3,,,"More than 10 citations - randomly selected 10
"
grant.2995423,709627,Modeling human decisions in coupled human and natural systems: Review of agent-based models,2012,An,Ecological Modelling,1,,,50,,"Coupled human and natural systems (CHANS) manifest various complexities such as heterogeneity, nonlinearity, feedback, and emergence. Humans play a critical role in affecting such systems and in giving rise to various environmental consequences, which may in turn affect future human decisions and behavior. In light of complexity theory and its application in CHANS, this paper reviews various decision models used in agent based simulations of CHANS dynamics, discussing their strengths and weaknesses. This paper concludes by advocating development of more process-based decision models as well as protocols or architectures that facilitate better modeling of human decisions in various CHANS.",
grant.2995423,709627,Mixed Methods in Land Change Research: Towards Integration,2012,Heon et al. ,Transactions of the Institute of British Geographers,3,,,37,,,
grant.2995423,709627,"The Effects of Migrant Remittances on Population-Environment Dynamics in Migrant Origin Areas: International Migration, Fertility and Consumption in Highland Guatemala.",2010,Davis and Lopez-Carr,Population and Environment,3,,,59,,,
grant.2995423,709627,Space versus Place in Complex Human-Natural Systems: Spatial and Multi-level Models of Tropical Land Use and Cover Change (LUCC) in Guatemala,2012,Lopez-Carr et al. ,Ecological Modelling,1,,,47,,,
grant.2995423,709627,Population and deforestation: why rural migration matters,2009,Carr,Progress in Human Geography,1,,,172,,,
grant.2995423,709627,"Farm households and land use in a core conservation zone of the Maya Biosphere Reserve, Guatemala",2008,Carr,Human Ecology,1,,,64,,,
grant.2995423,709627,"The population, agriculture, and environment nexus in Latin America: country-level evidence from the latter half of the twentieth century",2009,Carr,Population and Environment,1,,,100,,,
grant.2995422,709598,Globalization and Land-Use Transitions in Latin America,2008,Grau and Aide,Ecology and Society,1,,,401,,,More than 10 citations - randomly selected 10
grant.2995422,709598,"Agricultural Abandonment, Suburban Growth, and Forest Expansion in Puerto Rico between 1991 and 2000",2008,Pares-Ramos et al. ,Ecology and Society,1,,,89,,,More than 10 citations - randomly selected 10
grant.2995422,709598,Peri-Urban Neotropical Forest Transition and its Consequences for Environmental Services,2008,Grau et al. ,Ecology and Society,1,,,82,,,More than 10 citations - randomly selected 10
grant.2995422,709598,A Contemporary Assessment of Change in Humid Tropical Forests,2009,Asner et al. ,Conservation Biology,2,,,401,,,More than 10 citations - randomly selected 10
grant.2995422,709598,Effects of habitat and landscape characteristics on medium and large mammal species richness and composition in northern Uruguay,2010,Andrade-Nunez,Zoologia,3,,,26,,,More than 10 citations - randomly selected 10
grant.2995422,709598,"Implications of Rural-Urban Migration for Conservation of the Atlantic Forest and Urban Growth in Misiones, Argentina (1970-2030",2011,Izquierdo et al. ,Ambio,1,,,40,,,More than 10 citations - randomly selected 10
grant.2995422,709598,Calling activity of the common tink frog (Diasporus diastema) (Eleutherodactylidae) in secondary forests of the Caribbean of Costa Rica,2012,"Hilje et al. 
",Tropical Conservation Science,3,,,11,,,More than 10 citations - randomly selected 10
grant.2995422,709598,Land cover change in Colombia: surprising forest recovery trends between 2001 and 2010,2012,Sanchez-Cuervo et al. ,PLoS One,2,,,153,,,More than 10 citations - randomly selected 10
grant.2995422,709598,"Contrasting patterns of urban expansion in Colombia, Ecuador, Peru, and Bolivia: 1992-2009",2012,Alvarez-Berraos,Ambio,3,,,40,,,More than 10 citations - randomly selected 10
grant.2995422,709598,"Thirty Years of Human Demography and Land-Use Change in the Atlantic Forest of Misiones, Argentina: an Evaluation of the Forest Transition Model",2008,"Izquierfo et al. 
",Ecology and Society,1,,,115,,,More than 10 citations - randomly selected 10
grant.3077931,709606,Same citations to the above grants - collaborative....,,,,,,,,,,
grant.2996637,816168,Contribution of Land Use Changes to Near-Surface Air Temperatures during Recent Summer Extreme Heat Events in the Phoenix Metropolitan Area,2010,Grossman-Clarke,Journal of Applied Meteorology and Climatology,2,,,137,,,More than 10 citations - randomly selected 10
grant.2996637,816168,Climate change and health in cities: impacts of heat and air pollution and potential co-benefits from mitigation and adaptation,2011,Harlan and Ruddell ,Current Opinion in Environmental Sustainability ,1,,,242,,,More than 10 citations - randomly selected 10
grant.2996637,816168,Scales of perception: public awareness of regional and neighborhood climates,2012,Ruddell et al. ,Climate Change,2,,,55,,,More than 10 citations - randomly selected 10
grant.2996637,816168,"Historical Threshold Temperatures for Phoenix (Urban) and Gila Bend (Desert), Central Arizona, USA",2013,Ruddell et al. ,Climate Research,1,,,12,,,More than 10 citations - randomly selected 10
grant.2996637,816168,"Occupation and Environmental Heat-Associated Deaths in Maricopa County, Arizona: A Case-Control Study",2013,Petitti et al. ,PLoS One,3,,,46,,,More than 10 citations - randomly selected 10
grant.2996637,816168,"Creating the Park Cool Island in an Inner-City Neighborhood: Heat Mitigation Strategy for Phoenix, Arizona",2014,Declet-Barreto et al. ,Urban Ecosystems,1,,,98,,,More than 10 citations - randomly selected 10
grant.2996637,816168,"Extreme Summer Heat in Phoenix, Arizona (USA) under Global Climate Change (2041-2070)",2014,Grossman-Clarke,Die Erde,3,,,2,,,More than 10 citations - randomly selected 10
grant.2996637,816168,Heat-Related Deaths in Hot Cities: Estimates of Human Tolerance to High Temperature Thresholds,2014,Harlan et al. ,International Journal of Environmental Research and Public Health,3,,,65,,,More than 10 citations - randomly selected 10
grant.2996637,816168,The Energy-Water Nexus: Are There Tradeoffs between Residential Energy and Water Consumption in Arid Cities?,2014,Ruddell and Dixon,International Journal of Biometeorology,3,,,19,,,More than 10 citations - randomly selected 10
grant.2996637,816168,Urban Vegetation and Income Segregation in Drylands: A Synthesis of Seven Metropolitan Regions in the Southwestern United States,2013,Jenerette et al. ,Environmental Research Letters,1,,,34,,,More than 10 citations - randomly selected 10
grant.2996626,814692,Global analysis and simulation of land-use change associated with urbanization,2010,Jenerette and Potere,Landscape Ecology,1,,,74,,,
grant.2996626,814692,Experimental landscape ecology,2012,Jenerette and Shen ,Landscape Ecology,3,,,22,,,
grant.2996626,814692,"Ecosystem services and urban heat riskscape moderation: Water, green spaces, and social inequality in Phoenix, USA",2011,Jenerette et al. ,Ecological Applications,1,,,269,,,
grant.3090039,816400,"Factors Controlling Pre-Columbian and Early Historic Maize Productivity in the American Southwest, Part 1: The Southern Colorado Plateau and Rio Grande Regions",2010,Benson,Journal of Archaeological Method and Theory,1,,,45,,,More than 10 citations - randomly selected 10
grant.3090039,816400,"Factors Controlling Pre-Columbian and Early Historic Maize Productivity in the American Southwest, Part 2: The Chaco Halo, Mesa Verde, Pajarito Plateau/Bandelier, and Zuni Archaeological Regions",2010,"Benson
",Journal of Archaeological Method and Theory,1,,,41,,,More than 10 citations - randomly selected 10
grant.3090039,816400,"Research on Coupled Human and Natural Systems (CHANS): Approach, Challenges, and Strategies",2011,McConnell et al. ,Bulletin of the Ecological Society of America,1,,,136,,,More than 10 citations - randomly selected 10
grant.3090039,816400,Modelling Prehispanic Pueblo Societies in their Ecosystems,2012,Kohler et al. ,Ecological Modelling,1,,,67,,,More than 10 citations - randomly selected 10
grant.3090039,816400,The Coevolution of Group Size and Leadership: An Agent-Based Public Goods Model for Prehispanic Pueblo Societies,2012,Kohler et al. ,Advances in Complex Systems,2,,,48,,,More than 10 citations - randomly selected 10
grant.3090039,816400,The Better Angels of Their Nature: Declining Violence Through Time among Prehispanic Farmers of the Pueblo Southwest,2014,Kohler et al. ,American Antquity,3,,,42,,,More than 10 citations - randomly selected 10
grant.3090039,816400,"YesWorkflow: A User-Oriented, Language-Independent Tool for Recovering Workflow Information from Scripts",2015,McPhillips et al. ,International Journal of Digital Curation ,3,,,81,,,More than 10 citations - randomly selected 10
grant.3090039,816400,DNA analysis of ancient dogs of the Americas: Identifying possible founding haplotypes and reconstructing population histories,2014,Witt et al. ,Journal of Human Evolution ,3,,,35,,,More than 10 citations - randomly selected 10
grant.3090039,816400,Obsidian Toolstone Procurement in the Central Mesa Verde,2011,Arakawa et al. ,American Antquity,3,,,21,,,More than 10 citations - randomly selected 10
grant.3090039,816400,Forest responses to increasing aridity and warmth in the southwestern United States,2010,Williams et al. ,Proceedings of the National Academy of Sciences,3,,,330,,,More than 10 citations - randomly selected 10
grant.3114664,1013296,Objective and perceived wildfire risk and their influence on private forest owners? fuel treatment activities in Oregon?s ponderosa pine region,2014,Fischer et al. ,"International Journal of Wildland fire
",1,,,37,,,
grant.3114664,1013296,Identifying policy target groups with qualitative and quantitative methods: The case of wildfire risk on nonindustrial private forest lands,2012,Fischer et al. ,Forest Policy and Economics,1,,,24,,,
grant.3114664,1013296,Assessing social vulnerability to climate change in human communities near public forests and grasslands: A framework for resource managers and planners,2013,Fischer et al. ,Journal of Forestry,1,,,34,,,
grant.3100975,909410,The urban health transition hypothesis: Empirical evidence of an avian influenza Kuznets curve in Vietnam,2013,Spencer,Journal of Urban Health: Bulletin of the New York Academy of Medicine,3,,,14,,,
grant.3100975,909410,An Exploration of How Perceptions of the Risk of Avian Influenza in Poultry Relate to Urbanization in Vietnam,2014,Finuacane et al. ,EcoHealth,2,,,12,,,
